Date,Cases,Cumulative_cases
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,0,0
2020-01-04,0,0
2020-01-05,0,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,1,1
2020-01-13,0,1
2020-01-14,0,1
2020-01-15,0,1
2020-01-16,0,1
2020-01-17,1,2
2020-01-18,0,2
2020-01-19,0,2
2020-01-20,0,2
2020-01-21,0,2
2020-01-22,2,4
2020-01-23,0,4
2020-01-24,1,5
2020-01-25,1,6
2020-01-26,2,8
2020-01-27,0,8
2020-01-28,6,14
2020-01-29,0,14
2020-01-30,0,14
2020-01-31,5,19
2020-02-01,0,19
2020-02-02,0,19
2020-02-03,0,19
2020-02-04,6,25
2020-02-05,0,25
2020-02-06,0,25
2020-02-07,0,25
2020-02-08,7,32
2020-02-09,0,32
2020-02-10,0,32
2020-02-11,1,33
2020-02-12,0,33
2020-02-13,0,33
2020-02-14,0,33
2020-02-15,1,34
2020-02-16,0,34
2020-02-17,1,35
2020-02-18,0,35
2020-02-19,0,35
2020-02-20,0,35
2020-02-21,0,35
2020-02-22,0,35
2020-02-23,0,35
2020-02-24,0,35
2020-02-25,2,37
2020-02-26,3,40
2020-02-27,0,40
2020-02-28,1,41
2020-02-29,1,42
2020-03-01,0,42
2020-03-02,1,43
2020-03-03,0,43
2020-03-04,0,43
2020-03-05,4,47
2020-03-06,1,48
2020-03-07,2,50
2020-03-08,0,50
2020-03-09,0,50
2020-03-10,3,53
2020-03-11,6,59
2020-03-12,11,70
2020-03-13,5,75
2020-03-14,7,82
2020-03-15,32,114
2020-03-16,33,147
2020-03-17,30,177
2020-03-18,35,212
2020-03-19,60,272
2020-03-20,50,322
2020-03-21,89,411
2020-03-22,188,599
2020-03-23,122,721
2020-03-24,106,827
2020-03-25,107,934
2020-03-26,111,1045
2020-03-27,91,1136
2020-03-28,109,1245
2020-03-29,143,1388
2020-03-30,136,1524
2020-03-31,127,1651
2020-04-01,120,1771
2020-04-02,104,1875
2020-04-03,103,1978
2020-04-04,89,2067
2020-04-05,102,2169
2020-04-06,51,2220
2020-04-07,38,2258
2020-04-08,111,2369
2020-04-09,54,2423
2020-04-10,50,2473
2020-04-11,45,2518
2020-04-12,33,2551
2020-04-13,28,2579
2020-04-14,34,2613
2020-04-15,30,2643
2020-04-16,29,2672
2020-04-17,28,2700
2020-04-18,33,2733
2020-04-19,32,2765
2020-04-20,27,2792
2020-04-21,19,2811
2020-04-22,15,2826
2020-04-23,13,2839
2020-04-24,15,2854
2020-04-25,53,2907
2020-04-26,15,2922
2020-04-27,9,2931
2020-04-28,7,2938
2020-04-29,9,2947
2020-04-30,7,2954
2020-05-01,6,2960
2020-05-02,6,2966
2020-05-03,3,2969
2020-05-04,18,2987
2020-05-05,1,2988
2020-05-06,1,2989
2020-05-07,3,2992
2020-05-08,8,3000
2020-05-09,4,3004
2020-05-10,5,3009
2020-05-11,6,3015
2020-05-12,2,3017
2020-05-13,0,3017
2020-05-14,1,3018
2020-05-15,7,3025
2020-05-16,0,3025
2020-05-17,3,3028
2020-05-18,3,3031
2020-05-19,2,3033
2020-05-20,1,3034
2020-05-21,3,3037
2020-05-22,0,3037
2020-05-23,3,3040
2020-05-24,0,3040
2020-05-25,2,3042
2020-05-26,3,3045
2020-05-27,9,3054
2020-05-28,11,3065
2020-05-29,11,3076
2020-05-30,1,3077
2020-05-31,4,3081
2020-06-01,1,3082
2020-06-02,1,3083
2020-06-03,1,3084
2020-06-04,17,3101
2020-06-05,1,3102
2020-06-06,2,3104
2020-06-07,8,3112
2020-06-08,7,3119
2020-06-09,2,3121
2020-06-10,4,3125
2020-06-11,0,3125
2020-06-12,4,3129
2020-06-13,5,3134
2020-06-14,1,3135
2020-06-15,0,3135
2020-06-16,0,3135
2020-06-17,0,3135
2020-06-18,6,3141
2020-06-19,5,3146
2020-06-20,1,3147
2020-06-21,1,3148
2020-06-22,3,3151
2020-06-23,5,3156
2020-06-24,1,3157
2020-06-25,1,3158
2020-06-26,4,3162
2020-06-27,0,3162
2020-06-28,0,3162
2020-06-29,7,3169
2020-06-30,2,3171
